01,358,1357
01,357,1051
01,364,285
01,372,267
01,374,108
02,358,2235
02,357,1414
02,372,570
02,364,520
02,362,204
03,364,162
03,358,149
03,357,106
03,372,105
03,362,88
04,364,165
04,362,84
04,361,63
04,358,59
04,372,51
05,364,133
05,361,38
05,372,36
05,358,33
05,374,32
06,364,100
06,374,30
06,357,26
06,363,20
06,360,19
07,364,79
07,363,29
07,362,21
07,372,17
07,361,16
08,364,75
08,363,34
08,369,28
08,372,20
08,362,15
09,364,389
09,363,234
09,369,122
09,374,91
09,361,77
10,364,225
10,363,121
10,369,93
10,372,60
10,374,57
11,364,144
11,363,79
11,369,62
11,378,54
11,379,49
12,378,323
12,379,228
12,411,221
12,369,168
12,11,138
13,378,309
13,411,219
13,379,214
13,369,96
13,372,53
14,378,278
14,379,173
14,411,172
14,369,62
14,372,32
15,378,188
15,379,129
15,411,106
15,369,58
15,278,24
16,378,122
16,411,92
16,379,85
16,369,48
16,278,28
17,378,68
17,379,63
17,411,55
17,369,30
17,278,27
18,378,54
18,411,42
18,379,33
18,369,28
18,278,15
19,411,31
19,378,30
19,369,24
19,379,23
19,278,18
20,411,23
20,369,22
20,379,19
20,378,16
20,173,9
21,379,16
21,378,14
21,369,12
21,194,11
21,441,9
22,379,20
22,369,17
22,411,14
22,378,13
22,372,8
23,379,147
23,409,123
23,369,86
23,441,72
23,397,71
24,409,118
24,397,64
24,441,63
24,194,43
24,379,43
25,409,76
25,397,64
25,441,42
25,194,38
25,122,28
26,409,76
26,397,47
26,122,32
26,414,24
26,423,18
27,397,222
27,122,190
27,409,130
27,194,76
27,268,75
28,397,251
28,428,234
28,429,139
28,193,133
28,122,131
29,397,1609
29,435,1398
29,429,877
29,428,848
29,420,622
30,420,3112
30,435,2750
30,397,2493
30,429,1585
30,428,1272
31,420,5087
31,435,2266
31,397,1987
31,429,1573
31,428,1262
32,420,5645
32,435,1743
32,397,1613
32,429,1549
32,428,1252
33,420,5265
33,429,1398
33,397,1363
33,435,1257
33,428,1150
34,420,4718
34,429,1560
34,298,1365
34,211,1297
34,397,1270
35,420,5227
35,211,2555
35,298,2284
35,159,2269
35,93,2185
36,93,6660
36,420,5580
36,211,5053
36,215,4329
36,159,3946
37,93,13406
37,211,7848
37,215,7300
37,159,6047
37,267,5997
38,93,18040
38,215,10324
38,211,10182
38,267,9730
38,159,8137
39,93,23813
39,267,14799
39,215,13724
39,211,11905
39,159,9726
40,93,26089
40,267,20145
40,215,17079
40,211,12358
40,159,9757
41,93,23489
41,267,22690
41,215,20798
41,211,13009
41,189,9891
42,215,28382
42,267,23943
42,189,19621
42,93,19201
42,175,19121
43,215,34731
43,175,31586
43,189,29495
43,267,22401
43,211,16164
44,175,33083
44,215,31101
44,189,28816
44,230,14563
44,267,13882
45,175,16130
45,215,13459
45,189,12840
45,230,6806
45,238,4962
46,175,3473
46,215,2873
46,189,2489
46,230,1481
46,211,970
47,175,303
47,215,253
47,189,191
47,230,126
47,211,92
48,215,10
48,175,9
48,189,7
48,211,7
48,376,6
49,257,2
49,209,1
49,214,1
49,230,1
52,379,170
52,214,17
52,397,11
52,409,9
52,420,9
